Timestamp,Value
1765737112.7384584,1
1765737112.7387106,1
1765737112.7388985,1
1765737112.7390459,1
1765737112.7391837,1
1765737112.739323,1
1765737112.7394757,1
1765737112.7396154,1
1765737112.739736,1
1765737112.739862,1
1765737112.7399902,1
1765737112.7401283,1
1765737112.7402668,1
1765737112.7403867,1
1765737112.7406294,1
1765737112.7407575,1
1765737112.7409005,1
1765737112.741031,1
1765737112.741168,1
1765737112.7416313,1
1765737112.741838,1
1765737112.7420511,1
1765737112.7424579,1
1765737112.7426875,1
1765737112.7428684,1
1765737112.7430272,1
1765737112.7432554,1
1765737112.7434137,1
1765737112.74356,1
1765737112.7437036,1
1765737112.7438323,1
1765737112.7439728,1
1765737112.7441971,1
1765737112.7443426,1
1765737112.744564,1
1765737112.744688,1
1765737112.7448263,1
1765737112.7449365,1
1765737112.7451036,1
1765737112.7452466,1
1765737112.7455616,1
1765737112.7457516,1
1765737112.7458959,1
1765737112.7461054,1
1765737112.7462757,1
1765737112.746429,1
1765737112.7465658,1
1765737112.7466989,1
1765737112.7468193,1
1765737112.7469842,1
1765737112.7471147,1
1765737112.7472618,1
1765737112.7474015,1
1765737112.7475364,1
1765737112.7477477,1
1765737112.7478635,1
1765737112.7479873,1
1765737112.7482142,1
1765737112.7483833,1
1765737112.7485163,1
1765737112.748647,1
1765737112.748762,1
1765737112.7488935,1
1765737112.7490044,1
1765737112.7491474,1
1765737112.7492702,1
1765737112.7494273,1
1765737112.74954,1
1765737112.7496746,1
1765737112.7501113,1
1765737112.7502797,1
1765737112.7504206,1
1765737112.750589,1
1765737112.7507684,1
1765737112.7510116,1
1765737112.7511814,1
1765737112.7513285,1
1765737112.7514517,1
1765737112.751571,1
1765737112.7516978,1
1765737112.7518103,1
1765737112.751925,1
1765737112.7520542,1
1765737112.7522004,1
1765737112.7523375,1
1765737112.7524629,1
1765737112.7525744,1
1765737112.7527454,1
1765737112.7528777,1
1765737112.7529948,1
1765737112.7531776,1
1765737112.7533114,1
1765737112.7534313,1
1765737112.7535553,1
1765737112.7537642,1
1765737112.7543502,1
1765737112.75465,1
1765737112.7548535,1
1765737112.755663,1
1765737112.75591,1
1765737112.756089,1
1765737112.756241,1
1765737112.7563677,1
1765737112.756524,1
1765737112.7566817,1
1765737112.7568517,1
1765737112.7570326,1
1765737112.7571821,1
1765737112.7573242,1
1765737112.7574556,1
1765737112.7575858,1
1765737112.757719,1
1765737112.7578416,1
1765737112.758102,1
1765737112.7584505,1
1765737112.7586186,1
1765737112.7588048,1
1765737112.758943,1
1765737112.7590876,1
1765737112.7591982,1
1765737112.7593064,1
1765737112.7596521,1
1765737112.759777,1
1765737112.7598848,1
1765737112.7599933,1
1765737112.7601047,1
1765737112.7602298,1
1765737112.7603657,1
1765737112.7604833,1
1765737112.7606049,1
1765737112.7607076,1
1765737112.7608268,1
1765737112.7609475,1
1765737112.7610927,1
