Timestamp,Value
1765737351.2763479,1
1765737351.2763958,0
1765737351.276442,0
1765737351.2764902,1
1765737351.2765386,1
1765737351.2765858,1
1765737351.276633,1
1765737351.2766802,1
1765737351.2767334,1
1765737351.2767808,1
1765737351.2768273,0
1765737351.2813296,0
1765737351.281436,1
1765737351.2814863,1
1765737351.2815354,1
1765737351.281625,1
1765737351.28168,1
1765737351.2817304,1
1765737351.2817779,0
1765737351.2818253,0
1765737351.2818735,1
1765737351.2819204,1
1765737351.281968,1
1765737351.2820146,1
1765737351.2820613,1
1765737351.282159,1
1765737351.2822173,0
1765737351.282266,0
1765737351.2823126,0
1765737351.2823603,1
1765737351.2824082,1
1765737351.282458,1
1765737351.2868466,1
1765737351.286917,1
1765737351.2869658,1
1765737351.2870128,0
1765737351.2871163,0
1765737351.2872334,1
1765737351.2872872,1
1765737351.2873359,1
1765737351.287383,1
1765737351.2874303,1
1765737351.2874987,1
1765737351.2875524,0
1765737351.287606,0
1765737351.2876623,1
1765737351.2877135,1
1765737351.2877626,0
1765737351.2878098,0
1765737351.2878585,0
1765737351.2879076,1
1765737351.2879574,1
1765737351.2880075,0
1765737351.292377,0
1765737351.292441,1
1765737351.2924948,1
1765737351.292568,0
1765737351.2926168,0
1765737351.2926645,1
1765737351.2927113,1
1765737351.2927577,0
1765737351.2928054,0
1765737351.2928526,0
1765737351.2929,1
1765737351.2929611,1
1765737351.293009,0
1765737351.2930772,0
1765737351.2931337,1
1765737351.2931957,1
1765737351.2933085,1
1765737351.2934332,1
1765737351.293497,1
1765737351.2935479,1
1765737351.2978365,0
1765737351.2979364,0
1765737351.2979867,1
1765737351.298035,1
1765737351.298083,0
1765737351.29813,0
1765737351.298202,1
1765737351.29826,1
1765737351.2983115,1
1765737351.2983599,0
1765737351.29857,0
1765737351.298627,1
1765737351.2986872,1
1765737351.2987378,1
1765737351.2987864,1
1765737351.2988353,1
1765737351.298883,1
1765737351.2989314,0
1765737351.2989793,0
1765737351.2990274,1
1765737351.299075,1
1765737351.303401,1
1765737351.3034723,1
1765737351.3035467,1
1765737351.3035963,1
1765737351.3036444,0
1765737351.3036923,0
1765737351.3037543,0
1765737351.3038275,1
1765737351.3038757,1
1765737351.303923,1
1765737351.3039906,1
1765737351.3040442,1
1765737351.3040922,1
1765737351.3041396,0
1765737351.3042383,0
1765737351.3043137,1
1765737351.3043778,1
1765737351.3044436,1
